Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017
8K Miles Soft Services Ltd.,IT,8KMILES,EQ,INE650K01021
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Aban Offshore Ltd.,ENERGY,ABAN,EQ,INE421A01028
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Adani Transmission Ltd.,ENERGY,ADANITRANS,EQ,INE931S01010
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012
BGR Energy Systems Ltd,CONSTRUCTION,BGRENERGY,EQ,INE661I01014
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
